Warning: Config file not found. Using some defaults
INFO:spa2mqtt.spas.base.communicator.communicator:Instantiated default communicator with target 192.168.100.47:4257
INFO:spa2mqtt.spas.base.communicator.communicator:Attaching update handler.
INFO:spa2mqtt.spas.base.communicator.communicator:Connected to spa.
2025-05-21 11:26:32.583134_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:32.883158_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:33.188990_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:33.422415_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
2025-05-21 11:26:33.516340_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:33.785512_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:34.099373_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:34.387720_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
2025-05-21 11:26:34.416060_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:34.682745_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:34.982614_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:35.282770_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:35.388167_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
2025-05-21 11:26:35.583361_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:35.882388_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:36.182336_: 7e25ffaf160623750519020064fa6502160102000065011c016c8000800000000000000000cf7e
2025-05-21 11:26:36.381457_: 7e21ffaf230000000000000002003c0000ff0002003c0000ff0002003c0000ff008d7e
